Entity,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Unnamed: 10,Median,Mean,Std
India,IND,1750,30488.506,34813.883,8360133.5,416970.56,964998.75,122179.055,479372.88,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1760,31085.959,35436.08,8509232.0,424385.12,982068.06,124343.67,488997.53,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1770,31692.695,36060.594,8658843.0,431822.25,999177.1,126513.8,498799.97,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1780,32308.56,36686.246,8808680.0,439267.25,1016290.4,128685.0,508781.62,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1790,32933.355,37311.703,8958415.0,446703.34,1033367.5,130852.21,518943.75,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1800,33566.84,37935.434,9107674.0,454111.47,1050362.2,133009.67,529287.25,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1801,33676.016,37997.734,9122577.0,454850.75,1052056.5,133224.83,530990.56,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1802,33785.355,38059.977,9137466.0,455589.25,1053748.9,133439.75,532696.4,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1803,33894.863,38122.156,9152339.0,456327.0,1055439.5,133654.44,534404.75,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1804,34004.535,38184.277,9167197.0,457064.0,1057128.2,133868.9,536115.7,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1805,34114.37,38246.332,9182041.0,457800.22,1058815.2,134083.12,537829.2,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1806,34224.375,38308.33,9196869.0,458535.7,1060500.4,134297.14,539545.2,0.0,175894.305,1303766.0090701755,2483992.905506062
